scaffold-ma1	100030000	32	64	1440
scaffold-ma1	100040000	1440	96	0
scaffold-ma1	100140000	576	840	120
scaffold-ma1	100150000	1000	392	144
scaffold-ma1	100170000	1500	24	12
scaffold-ma1	100220000	1536	0	0
scaffold-ma1	100230000	1416	96	24
scaffold-ma1	100240000	632	784	120
scaffold-ma1	100250000	1344	0	192
scaffold-ma1	100260000	512	64	960
scaffold-ma1	100270000	984	168	384
scaffold-ma1	100280000	276	0	1260
scaffold-ma1	100300000	576	0	960
scaffold-ma1	100320000	1536	0	0
scaffold-ma1	100330000	1152	384	0
scaffold-ma1	100350000	1368	0	168
scaffold-ma1	100390000	1240	0	296
scaffold-ma1	100420000	960	576	0
scaffold-ma1	100440000	1536	0	0
scaffold-ma1	100530000	1152	240	144
scaffold-ma1	100550000	814	586	136
scaffold-ma1	100580000	1536	0	0
scaffold-ma1	100590000	1356	0	180
scaffold-ma1	100600000	1368	0	168
scaffold-ma1	100610000	624	336	576
scaffold-ma1	100740000	1344	0	192
scaffold-ma1	100750000	1368	0	168
scaffold-ma1	100760000	1024	0	512
scaffold-ma1	100780000	1200	336	0
scaffold-ma1	100790000	576	0	960
scaffold-ma1	100800000	1536	0	0
scaffold-ma1	100810000	480	0	1056
scaffold-ma1	100830000	1440	96	0
scaffold-ma1	100840000	320	0	1216
scaffold-ma1	100870000	1280	0	256
scaffold-ma1	100900000	1536	0	0
scaffold-ma1	100910000	1440	96	0
scaffold-ma1	100940000	1224	312	0
scaffold-ma1	100970000	576	0	960
scaffold-ma1	100980000	576	96	864
scaffold-ma1	10110000	1536	0	0
scaffold-ma1	101570000	1404	132	0
scaffold-ma1	101580000	168	510	858
scaffold-ma1	101590000	1368	120	48
scaffold-ma1	101600000	1368	0	168
scaffold-ma1	101610000	1056	480	0
scaffold-ma1	101620000	1536	0	0
scaffold-ma1	101630000	1536	0	0
scaffold-ma1	101640000	1344	0	192
scaffold-ma1	101650000	1536	0	0
scaffold-ma1	101660000	32	288	1216
scaffold-ma1	101670000	512	280	744
scaffold-ma1	101680000	1248	288	0
scaffold-ma1	101690000	1536	0	0
scaffold-ma1	101700000	1536	0	0
scaffold-ma1	101710000	240	984	312
scaffold-ma1	101720000	1224	0	312
scaffold-ma1	101730000	810	96	630
scaffold-ma1	101750000	1248	288	0
scaffold-ma1	101790000	1344	192	0
scaffold-ma1	101830000	1344	192	0
scaffold-ma1	101840000	900	420	216
scaffold-ma1	101850000	0	960	576
scaffold-ma1	101870000	952	312	272
scaffold-ma1	101880000	0	0	1536
scaffold-ma1	101900000	1320	144	72
scaffold-ma1	101960000	1440	0	96
scaffold-ma1	101970000	384	0	1152
scaffold-ma1	101990000	1536	0	0
scaffold-ma1	102010000	852	588	96
scaffold-ma1	102020000	370	1118	48
scaffold-ma1	102030000	960	504	72
scaffold-ma1	102040000	422	334	780
scaffold-ma1	102070000	276	1176	84
scaffold-ma1	102080000	1088	448	0
scaffold-ma1	102090000	1162	154	220
scaffold-ma1	102100000	1168	0	368
scaffold-ma1	102120000	0	576	960
